NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
301617,2018,31,,7,43320,NULL,,,,
301628,2017,20,,9,42956,NULL,,O,,3.07E+13
301628,2018,20,,10,43320,NULL,,O,,3.07E+13
301633,2017,27,,9,42956,NULL,,,,
301633,2018,27,,10,43320,NULL,,,,
301638,2017,40,,7,42956,NULL,,,,
301640,2017,31,S,7,42956,NULL,,6,,3.07E+13
301641,2017,20,,10,42956,NULL,,,,
301645,2017,24,,10,42956,NULL,,,,
301645,2018,24,,11,43320,NULL,,,,
301647,2017,22,,11,42956,NULL,,,,
301651,2017,40,,7,42956,NULL,,,,
301663,2018,37,,7,43320,NULL,,,,
301667,2018,40,,7,43320,NULL,,,,
301673,2018,25,,9,43320,NULL,,,,
301675,2017,27,,9,43003,NULL,,,,
301675,2018,27,S,10,43320,NULL,,,,
301676,2017,28,,9,42956,NULL,,O,,3.07E+13
